,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
98,98,0,0.32108585389873945,2023-07-25 14:00:00+00:00,29177.499999999996,0.0,2023-07-25 15:00:00+00:00,29181.51,0.0,1.2875542741348909,0.00013743466712374074,Long,Closed,98
99,99,0,0.31911853199163814,2023-07-28 16:00:00+00:00,29361.41,0.0,2023-07-28 17:00:00+00:00,29259.36,0.0,-32.566046189745975,-0.0034756505222330197,Long,Closed,99
100,100,0,0.31810158485924245,2023-07-29 23:00:00+00:00,29352.9,0.0,2023-07-30 00:00:00+00:00,29348.83,0.0,-1.2946734503766493,-0.0001386575091387403,Long,Closed,100
101,101,0,0.3177638863678269,2023-07-30 16:00:00+00:00,29380.020000000004,0.0,2023-07-30 17:00:00+00:00,29396.52,0.0,5.243104125069294,0.0005616061527528053,Long,Closed,101
102,102,0,0.31703042406885673,2023-07-31 02:00:00+00:00,29464.53,0.0,2023-07-31 03:00:00+00:00,29421.99,0.0,-13.486474239887684,-0.0014437698480171015,Long,Closed,102
103,103,0,0.31885106840638366,2023-08-01 22:00:00+00:00,29253.989999999998,0.0,2023-08-01 23:00:00+00:00,29705.99,0.0,144.12068291968535,0.015450883793971346,Long,Closed,103
104,104,0,0.324040784132364,2023-08-03 17:00:00+00:00,29230.229999999996,0.0,2023-08-03 18:00:00+00:00,29269.76,0.0,12.809332196751711,0.0013523670528763556,Long,Closed,104
105,105,0,0.3262435873039265,2023-08-05 23:00:00+00:00,29072.13,0.0,2023-08-06 00:00:00+00:00,29067.5,0.0,-1.5105078092165058,-0.00015925905669787301,Long,Closed,105
106,106,0,0.3258792259091713,2023-08-06 22:00:00+00:00,29100.0,0.0,2023-08-06 23:00:00+00:00,29088.42,0.0,-3.77368143602871,-0.0003979381443299503,Long,Closed,106
107,107,0,0.32396717005481374,2023-08-08 00:00:00+00:00,29260.1,0.0,2023-08-08 01:00:00+00:00,29151.86,0.0,-35.06620648673197,-0.0036992354776640103,Long,Closed,107
108,108,0,0.321048731442925,2023-08-12 06:00:00+00:00,29416.86,0.0,2023-08-12 07:00:00+00:00,29421.49,0.0,1.4864556265802094,0.00015739273328282957,Long,Closed,108
109,109,0,0.32096898418082637,2023-08-12 12:00:00+00:00,29428.800000000003,0.0,2023-08-12 13:00:00+00:00,29408.8,0.0,-6.4193796836170804,-0.0006796063719894023,Long,Closed,109
110,110,0,0.3206987618216026,2023-08-14 10:00:00+00:00,29433.58,0.0,2023-08-14 11:00:00+00:00,29409.99,0.0,-7.565283791371257,-0.0008014655369818728,Long,Closed,110
111,111,0,0.36100392469030285,2023-08-19 18:00:00+00:00,26126.44,0.0,2023-08-19 19:00:00+00:00,26125.62,0.0,-0.2960232182449545,-3.138582983356975e-05,Long,Closed,111
112,112,0,0.36205187543061307,2023-08-22 01:00:00+00:00,26050.0,0.0,2023-08-22 02:00:00+00:00,26065.61,0.0,5.65162977547152,0.0005992322456813448,Long,Closed,112
113,113,0,0.3621697011429479,2023-08-23 07:00:00+00:00,26057.13,0.0,2023-08-23 08:00:00+00:00,26037.99,0.0,-6.9319280798754335,-0.0007345398361215673,Long,Closed,113
114,114,0,0.36148720947528057,2023-08-26 03:00:00+00:00,26087.15,0.0,2023-08-26 04:00:00+00:00,26076.0,0.0,-4.030582385650632,-0.00042741349668336585,Long,Closed,114
115,115,0,0.361393382461963,2023-08-27 10:00:00+00:00,26082.77,0.0,2023-08-27 11:00:00+00:00,26060.44,0.0,-8.069914230376526,-0.0008561207264413429,Long,Closed,115
116,116,0,0.36026877119153045,2023-08-28 17:00:00+00:00,26141.79,0.0,2023-08-28 18:00:00+00:00,26148.91,0.0,2.5651136508822674,0.00027236084445617656,Long,Closed,116
117,117,0,0.3426678813349877,2023-08-29 14:00:00+00:00,27492.03,0.0,2023-08-29 15:00:00+00:00,27423.44,0.0,-23.503589980766264,-0.0024949048869799145,Long,Closed,117
118,118,0,0.36330055221979257,2023-09-02 14:00:00+00:00,25866.0,0.0,2023-09-02 15:00:00+00:00,25894.76,0.0,10.44852388183972,0.0011118843269154808,Long,Closed,118
119,119,0,0.36487065897225046,2023-09-06 01:00:00+00:00,25783.33,0.0,2023-09-06 02:00:00+00:00,25849.65,0.0,24.19822210303937,0.002572204598862879,Long,Closed,119
120,120,0,0.36534497786853215,2023-09-07 04:00:00+00:00,25816.09,0.0,2023-09-07 05:00:00+00:00,25788.92,0.0,-9.926423048687866,-0.0010524444251627408,Long,Closed,120
